service_id,stop_id,arrival,departure
00009_03-01-2025-09.57,71801,172,172
00011_03-01-2025-10.02,60000,0,0
00011_03-01-2025-10.02,71801,182,182
00012_03-01-2025-10.27,60000,0,0
00012_03-01-2025-10.27,71801,172,172
00009_03-01-2025-11.22,60000,0,0
00009_03-01-2025-11.22,71801,172,172
00006_03-01-2025-11.27,60000,0,0
00006_03-01-2025-11.27,71801,199,199
00009_03-01-2025-12.22,60000,0,0
00009_03-01-2025-12.22,71801,172,172
00013_03-01-2025-12.27,60000,0,0
00013_03-01-2025-12.27,71801,197,197
00004_03-01-2025-12.57,60000,0,0
00004_03-01-2025-12.57,71801,157,157
00014_03-01-2025-13.18,60000,0,0
00014_03-01-2025-13.18,71801,184,184
00004_03-01-2025-13.57,60000,0,0
00004_03-01-2025-13.57,71801,157,157
00009_03-01-2025-14.02,60000,0,0
00009_03-01-2025-14.02,71801,172,172
00015_03-01-2025-14.12,60000,0,0
00015_03-01-2025-14.12,71801,157,157
00016_03-01-2025-14.27,60000,0,0
00016_03-01-2025-14.27,71801,177,177
00017_03-01-2025-14.42,60000,0,0
00017_03-01-2025-14.42,71801,179,179
00004_03-01-2025-14.57,60000,0,0
00004_03-01-2025-14.57,71801,157,157
00018_03-01-2025-15.27,60000,0,0
00018_03-01-2025-15.27,71801,199,199
00004_03-01-2025-15.57,60000,0,0
00004_03-01-2025-15.57,71801,157,157
00007_03-01-2025-16.27,60000,0,0
00007_03-01-2025-16.27,71801,172,172
00002_03-01-2025-16.37,60000,0,0
00002_03-01-2025-16.37,71801,157,157
00004_03-01-2025-16.57,60000,0,0
00004_03-01-2025-16.57,71801,157,157
00015_03-01-2025-17.17,60000,0,0
00015_03-01-2025-17.17,71801,157,157
00009_03-01-2025-17.22,60000,0,0
00009_03-01-2025-17.22,71801,172,172
00018_03-01-2025-17.27,60000,0,0
00018_03-01-2025-17.27,71801,199,199
00004_03-01-2025-17.57,60000,0,0
00004_03-01-2025-17.57,71801,157,157
00016_03-01-2025-18.27,60000,0,0
00016_03-01-2025-18.27,71801,177,177
00002_03-01-2025-18.32,60000,0,0
00002_03-01-2025-18.32,71801,157,157
00004_03-01-2025-18.57,60000,0,0
00004_03-01-2025-18.57,71801,157,157
00009_03-01-2025-19.29,60000,0,0
00009_03-01-2025-19.29,71801,172,172
00019_03-01-2025-19.34,60000,0,0
00019_03-01-2025-19.34,71801,201,201
00004_03-01-2025-20.05,60000,0,0
00004_03-01-2025-20.05,71801,157,157
00009_03-01-2025-20.22,60000,0,0
00009_03-01-2025-20.22,71801,172,172
00020_03-01-2025-20.27,60000,0,0
00020_03-01-2025-20.27,71801,201,201
00005_03-01-2025-21.02,60000,0,0
00005_03-01-2025-21.02,71801,172,172
00007_03-01-2025-21.07,60000,0,0
00007_03-01-2025-21.07,71801,172,172
00021_04-01-2025-06.27,60000,0,0
00021_04-01-2025-06.27,71801,178,178
00005_04-01-2025-07.02,60000,0,0
00005_04-01-2025-07.02,71801,172,172
00006_04-01-2025-07.27,60000,0,0
00006_04-01-2025-07.27,71801,199,199
00009_04-01-2025-08.07,60000,0,0
00009_04-01-2025-08.07,71801,172,172
00007_04-01-2025-08.27,60000,0,0
00007_04-01-2025-08.27,71801,172,172
00008_04-01-2025-08.57,60000,0,0
00008_04-01-2025-08.57,71801,164,164
00009_04-01-2025-09.22,60000,0,0
00009_04-01-2025-09.22,71801,172,172
00010_04-01-2025-09.27,60000,0,0
00010_04-01-2025-09.27,71801,194,194
00009_04-01-2025-09.57,60000,0,0
00009_04-01-2025-09.57,71801,172,172
00011_04-01-2025-10.02,60000,0,0
00011_04-01-2025-10.02,71801,182,182
00012_04-01-2025-10.27,60000,0,0
00012_04-01-2025-10.27,71801,172,172
00009_04-01-2025-11.22,60000,0,0
00009_04-01-2025-11.22,71801,172,172
00006_04-01-2025-11.27,60000,0,0
00006_04-01-2025-11.27,71801,199,199
00009_04-01-2025-12.22,60000,0,0
00009_04-01-2025-12.22,71801,172,172
00013_04-01-2025-12.27,60000,0,0
00013_04-01-2025-12.27,71801,197,197
00014_04-01-2025-13.18,60000,0,0
00014_04-01-2025-13.18,71801,184,184
00015_04-01-2025-14.12,60000,0,0
00015_04-01-2025-14.12,71801,157,157
00017_04-01-2025-14.42,60000,0,0
00017_04-01-2025-14.42,71801,179,179
00018_04-01-2025-15.27,60000,0,0
00018_04-01-2025-15.27,71801,199,199
00007_04-01-2025-16.27,60000,0,0
00007_04-01-2025-16.27,71801,172,172
00002_04-01-2025-16.37,60000,0,0
00002_04-01-2025-16.37,71801,157,157
00015_04-01-2025-17.17,60000,0,0
00015_04-01-2025-17.17,71801,157,157
00018_04-01-2025-17.27,60000,0,0
00018_04-01-2025-17.27,71801,199,199
00016_04-01-2025-18.27,60000,0,0
00016_04-01-2025-18.27,71801,177,177
00009_04-01-2025-19.29,60000,0,0
00009_04-01-2025-19.29,71801,172,172
00019_04-01-2025-19.34,60000,0,0
00019_04-01-2025-19.34,71801,201,201
00009_04-01-2025-20.22,60000,0,0
00009_04-01-2025-20.22,71801,172,172
00020_04-01-2025-20.27,60000,0,0
00020_04-01-2025-20.27,71801,201,201
00005_04-01-2025-21.02,60000,0,0
00005_04-01-2025-21.02,71801,172,172
00021_05-01-2025-06.27,60000,0,0
00021_05-01-2025-06.27,71801,178,178
00005_05-01-2025-07.02,60000,0,0
00005_05-01-2025-07.02,71801,172,172
00006_05-01-2025-07.27,60000,0,0
00006_05-01-2025-07.27,71801,199,199
00009_05-01-2025-08.07,60000,0,0
00009_05-01-2025-08.07,71801,172,172
00007_05-01-2025-08.27,60000,0,0
00007_05-01-2025-08.27,71801,172,172
00009_05-01-2025-09.22,60000,0,0
00009_05-01-2025-09.22,71801,172,172
00010_05-01-2025-09.27,60000,0,0
00010_05-01-2025-09.27,71801,194,194
00009_05-01-2025-09.57,60000,0,0
00009_05-01-2025-09.57,71801,172,172
00011_05-01-2025-10.02,60000,0,0
00011_05-01-2025-10.02,71801,182,182
00012_05-01-2025-10.27,60000,0,0
00012_05-01-2025-10.27,71801,172,172
00009_05-01-2025-11.22,60000,0,0
00009_05-01-2025-11.22,71801,172,172
00006_05-01-2025-11.27,60000,0,0
00006_05-01-2025-11.27,71801,199,199
00009_05-01-2025-12.22,60000,0,0
00009_05-01-2025-12.22,71801,172,172
00013_05-01-2025-12.27,60000,0,0
00013_05-01-2025-12.27,71801,197,197
00014_05-01-2025-13.18,60000,0,0
00014_05-01-2025-13.18,71801,184,184
00009_05-01-2025-14.02,60000,0,0
00009_05-01-2025-14.02,71801,172,172
00015_05-01-2025-14.12,60000,0,0
00015_05-01-2025-14.12,71801,157,157
00016_05-01-2025-14.27,60000,0,0
00016_05-01-2025-14.27,71801,177,177
00017_05-01-2025-14.42,60000,0,0
00017_05-01-2025-14.42,71801,179,179
00018_05-01-2025-15.27,60000,0,0
00018_05-01-2025-15.27,71801,199,199
00007_05-01-2025-16.27,60000,0,0
00007_05-01-2025-16.27,71801,172,172
00002_05-01-2025-16.37,60000,0,0
00002_05-01-2025-16.37,71801,157,157
00004_05-01-2025-16.57,60000,0,0
00004_05-01-2025-16.57,71801,157,157
00015_05-01-2025-17.17,60000,0,0
00015_05-01-2025-17.17,71801,157,157
00009_05-01-2025-17.22,60000,0,0
00009_05-01-2025-17.22,71801,172,172
00018_05-01-2025-17.27,60000,0,0
00018_05-01-2025-17.27,71801,199,199
00004_05-01-2025-17.57,60000,0,0
00004_05-01-2025-17.57,71801,157,157
00016_05-01-2025-18.27,60000,0,0
00016_05-01-2025-18.27,71801,177,177
00002_05-01-2025-18.32,60000,0,0
00002_05-01-2025-18.32,71801,157,157
00004_05-01-2025-18.57,60000,0,0
00004_05-01-2025-18.57,71801,157,157
00009_05-01-2025-19.29,60000,0,0
00009_05-01-2025-19.29,71801,172,172
00019_05-01-2025-19.34,60000,0,0
00019_05-01-2025-19.34,71801,201,201
00004_05-01-2025-20.05,60000,0,0
00004_05-01-2025-20.05,71801,157,157
00009_05-01-2025-20.22,60000,0,0
00009_05-01-2025-20.22,71801,172,172
00020_05-01-2025-20.27,60000,0,0
00020_05-01-2025-20.27,71801,201,201
00005_05-01-2025-21.02,60000,0,0
00005_05-01-2025-21.02,71801,172,172
00007_05-01-2025-21.07,60000,0,0
00007_05-01-2025-21.07,71801,172,172
00001_06-01-2025-06.12,60000,0,0
00001_06-01-2025-06.12,71801,157,157
00002_06-01-2025-06.22,60000,0,0
00002_06-01-2025-06.22,71801,157,157
00003_06-01-2025-06.27,60000,0,0
00003_06-01-2025-06.27,71801,178,178
00004_06-01-2025-06.57,60000,0,0
00004_06-01-2025-06.57,71801,157,157
00005_06-01-2025-07.02,60000,0,0
00005_06-01-2025-07.02,71801,172,172
00002_06-01-2025-07.22,60000,0,0
00002_06-01-2025-07.22,71801,157,157
00006_06-01-2025-07.27,60000,0,0
00006_06-01-2025-07.27,71801,199,199
00004_06-01-2025-07.57,60000,0,0
00004_06-01-2025-07.57,71801,157,157
00007_06-01-2025-08.27,60000,0,0
00007_06-01-2025-08.27,71801,172,172
00002_06-01-2025-08.32,60000,0,0
00002_06-01-2025-08.32,71801,157,157
00008_06-01-2025-08.57,60000,0,0
00008_06-01-2025-08.57,71801,164,164
00009_06-01-2025-09.22,60000,0,0
00009_06-01-2025-09.22,71801,172,172
00010_06-01-2025-09.27,60000,0,0
00010_06-01-2025-09.27,71801,194,194
00009_06-01-2025-09.57,60000,0,0
00009_06-01-2025-09.57,71801,172,172
00011_06-01-2025-10.02,60000,0,0
00011_06-01-2025-10.02,71801,182,182
00012_06-01-2025-10.27,60000,0,0
00012_06-01-2025-10.27,71801,172,172
00009_06-01-2025-11.22,60000,0,0
00009_06-01-2025-11.22,71801,172,172
00006_06-01-2025-11.27,60000,0,0
00006_06-01-2025-11.27,71801,199,199
00009_06-01-2025-12.22,60000,0,0
00009_06-01-2025-12.22,71801,172,172
00013_06-01-2025-12.27,60000,0,0
00013_06-01-2025-12.27,71801,197,197
00004_06-01-2025-12.57,60000,0,0
