service_id,duration,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,time_distance_competitor_-1,price_competitor_-1,time_distance_competitor_1,price_competitor_1,time_distance_competitor_2,price_competitor_2,month_sin,month_cos,day_of_week_sin,day_of_week_cos,train_type_IRYO,train_type_OUIGO,price
00002_03-01-2025-07.22,157.0,1798.0,-55.2,22.61,-25.2,38.86,4.8,58.58,34.8,40.82,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,30.94
00002_03-01-2025-08.32,157.0,875.0,-64.8,58.58,-34.8,40.82,25.2,114.34,55.2,72.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,22.63
00009_03-01-2025-09.22,172.0,1289.0,-85.2,40.82,-25.2,114.34,4.8,72.0,64.8,57.13,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,47.42
00009_03-01-2025-09.57,172.0,970.0,-60.0,114.34,-30.0,72.0,30.0,57.13,90.0,111.64,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,65.39
00011_03-01-2025-10.02,182.0,1551.0,-64.8,114.34,-34.8,72.0,25.2,57.13,85.2,111.64,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,47.46
00009_03-01-2025-11.22,172.0,1287.0,-115.2,72.0,-55.2,57.13,4.8,111.64,64.8,62.41,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,74.44
00009_03-01-2025-12.22,172.0,839.0,-115.2,57.13,-55.2,111.64,4.8,62.41,34.8,65.9,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,74.54
00009_03-01-2025-14.02,172.0,1675.0,-43.8,55.14,-4.8,90.33,25.2,87.22,55.2,106.69,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,70.11
00015_03-01-2025-14.12,157.0,1675.0,-54.0,55.14,-15.0,90.33,15.0,87.22,45.0,106.69,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,58.44
00017_03-01-2025-14.42,179.0,1166.0,-45.0,90.33,-15.0,87.22,15.0,106.69,45.0,51.27,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,82.33
00002_03-01-2025-16.37,157.0,1289.0,-40.2,92.51,-10.2,81.05,19.8,99.13,49.8,51.81,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,59.52
00015_03-01-2025-17.17,157.0,1965.0,-49.8,81.05,-19.8,99.13,10.2,51.81,40.2,68.42,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,44.56
00009_03-01-2025-17.22,172.0,1965.0,-55.2,81.05,-25.2,99.13,4.8,51.81,34.8,68.42,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,72.57
00002_03-01-2025-18.32,157.0,1711.0,-34.8,68.42,-4.8,79.59,25.2,75.56,62.4,41.86,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,48.75
00009_03-01-2025-19.29,172.0,1042.0,-61.8,79.59,-31.8,75.56,5.4,41.86,36.0,63.34,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,67.39
00009_03-01-2025-20.22,172.0,1289.0,-48.0,41.86,-17.4,63.34,4.8,60.45,45.0,98.88,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1,0,23.97
00005_03-01-2025-21.02,172.0,923.0,-57.0,63.34,-34.8,60.45,5.4,98.88,565.2,32.44,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,44.17
