trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00004,60000,71801,AVE,AVE,2025-01-02 12:57:00,2025-01-02 15:34:00,0 days 02:37:00,00004_02-01-2025-12.57,56.21
00014,60000,71801,AVE INT,AVE INT,2025-01-02 13:18:00,2025-01-02 16:22:00,0 days 03:04:00,00014_02-01-2025-13.18,55.14
00004,60000,71801,AVE,AVE,2025-01-02 13:57:00,2025-01-02 16:34:00,0 days 02:37:00,00004_02-01-2025-13.57,
00009,60000,71801,IRYO,IRYO,2025-01-02 14:02:00,2025-01-02 16:54:00,0 days 02:52:00,00009_02-01-2025-14.02,
00015,60000,71801,OUIGO,OUIGO,2025-01-02 14:12:00,2025-01-02 16:49:00,0 days 02:37:00,00015_02-01-2025-14.12,
00016,60000,71801,AVE,AVE,2025-01-02 14:27:00,2025-01-02 17:24:00,0 days 02:57:00,00016_02-01-2025-14.27,70.83
00017,60000,71801,IRYO,IRYO,2025-01-02 14:42:00,2025-01-02 17:41:00,0 days 02:59:00,00017_02-01-2025-14.42,54.94
00004,60000,71801,AVE,AVE,2025-01-02 14:57:00,2025-01-02 17:34:00,0 days 02:37:00,00004_02-01-2025-14.57,100.33
00018,60000,71801,AVLO,AVLO,2025-01-02 15:27:00,2025-01-02 18:46:00,0 days 03:19:00,00018_02-01-2025-15.27,39.19
00004,60000,71801,AVE,AVE,2025-01-02 15:57:00,2025-01-02 18:34:00,0 days 02:37:00,00004_02-01-2025-15.57,85.83
00007,60000,71801,AVE,AVE,2025-01-02 16:27:00,2025-01-02 19:19:00,0 days 02:52:00,00007_02-01-2025-16.27,84.42
00002,60000,71801,IRYO,IRYO,2025-01-02 16:37:00,2025-01-02 19:14:00,0 days 02:37:00,00002_02-01-2025-16.37,40.98
00004,60000,71801,AVE,AVE,2025-01-02 16:57:00,2025-01-02 19:34:00,0 days 02:37:00,00004_02-01-2025-16.57,158.59
00015,60000,71801,OUIGO,OUIGO,2025-01-02 17:17:00,2025-01-02 19:54:00,0 days 02:37:00,00015_02-01-2025-17.17,46.54
00009,60000,71801,IRYO,IRYO,2025-01-02 17:22:00,2025-01-02 20:14:00,0 days 02:52:00,00009_02-01-2025-17.22,82.59
00006,60000,71801,AVE,AVE,2025-01-02 17:27:00,2025-01-02 20:46:00,0 days 03:19:00,00006_02-01-2025-17.27,105.88
00004,60000,71801,AVE,AVE,2025-01-02 17:57:00,2025-01-02 20:34:00,0 days 02:37:00,00004_02-01-2025-17.57,48.4
00016,60000,71801,AVE,AVE,2025-01-02 18:27:00,2025-01-02 21:24:00,0 days 02:57:00,00016_02-01-2025-18.27,79.61
00002,60000,71801,IRYO,IRYO,2025-01-02 18:32:00,2025-01-02 21:09:00,0 days 02:37:00,00002_02-01-2025-18.32,44.53
00004,60000,71801,AVE,AVE,2025-01-02 18:57:00,2025-01-02 21:34:00,0 days 02:37:00,00004_02-01-2025-18.57,80.27
00009,60000,71801,IRYO,IRYO,2025-01-02 19:29:00,2025-01-02 22:21:00,0 days 02:52:00,00009_02-01-2025-19.29,29.95
00019,60000,71801,AVLO,AVLO,2025-01-02 19:34:00,2025-01-02 22:55:00,0 days 03:21:00,00019_02-01-2025-19.34,28.74
00004,60000,71801,AVE,AVE,2025-01-02 20:05:00,2025-01-02 22:42:00,0 days 02:37:00,00004_02-01-2025-20.05,50.24
00009,60000,71801,IRYO,IRYO,2025-01-02 20:22:00,2025-01-02 23:14:00,0 days 02:52:00,00009_02-01-2025-20.22,31.51
00020,60000,71801,AVE,AVE,2025-01-02 20:27:00,2025-01-02 23:48:00,0 days 03:21:00,00020_02-01-2025-20.27,35.65
00005,60000,71801,OUIGO,OUIGO,2025-01-02 21:02:00,2025-01-02 23:54:00,0 days 02:52:00,00005_02-01-2025-21.02,43.77
00007,60000,71801,AVE,AVE,2025-01-02 21:07:00,2025-01-02 23:59:00,0 days 02:52:00,00007_02-01-2025-21.07,64.02
