trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
14,60000,71801,AVE INT,AVE INT,2025-01-02 13:18:00,2025-01-02 16:22:00,0 days 03:04:00,00014_02-01-2025-13.18,339.0,S-100,45.95,55.14
4,60000,71801,AVE,AVE,2025-01-02 13:57:00,2025-01-02 16:34:00,0 days 02:37:00,00004_02-01-2025-13.57,414.0,s-103,,
9,60000,71801,IRYO,IRYO,2025-01-02 14:02:00,2025-01-02 16:54:00,0 days 02:52:00,00009_02-01-2025-14.02,461.0,S-109,39.56,
15,60000,71801,OUIGO,OUIGO,2025-01-02 14:12:00,2025-01-02 16:49:00,0 days 02:37:00,00015_02-01-2025-14.12,509.0,S-108,33.0,
16,60000,71801,AVE,AVE,2025-01-02 14:27:00,2025-01-02 17:24:00,0 days 02:57:00,00016_02-01-2025-14.27,291.0,S-100,68.95,70.83
17,60000,71801,IRYO,IRYO,2025-01-02 14:42:00,2025-01-02 17:41:00,0 days 02:59:00,00017_02-01-2025-14.42,461.0,S-109,41.04,54.94
4,60000,71801,AVE,AVE,2025-01-02 14:57:00,2025-01-02 17:34:00,0 days 02:37:00,00004_02-01-2025-14.57,414.0,S-103,67.8,100.33
18,60000,71801,AVLO,AVLO,2025-01-02 15:27:00,2025-01-02 18:46:00,0 days 03:19:00,00018_02-01-2025-15.27,571.0,S-106,35.0,39.19
4,60000,71801,AVE,AVE,2025-01-02 15:57:00,2025-01-02 18:34:00,0 days 02:37:00,00004_02-01-2025-15.57,414.0,S-103,81.35,85.83
7,60000,71801,AVE,AVE,2025-01-02 16:27:00,2025-01-02 19:19:00,0 days 02:52:00,00007_02-01-2025-16.27,414.0,S-103,57.45,84.42
2,60000,71801,IRYO,IRYO,2025-01-02 16:37:00,2025-01-02 19:14:00,0 days 02:37:00,00002_02-01-2025-16.37,461.0,S-109,39.56,40.98
4,60000,71801,AVE,AVE,2025-01-02 16:57:00,2025-01-02 19:34:00,0 days 02:37:00,00004_02-01-2025-16.57,414.0,S-103,122.05,158.59
15,60000,71801,OUIGO,OUIGO,2025-01-02 17:17:00,2025-01-02 19:54:00,0 days 02:37:00,00015_02-01-2025-17.17,509.0,S-108,39.0,46.54
9,60000,71801,IRYO,IRYO,2025-01-02 17:22:00,2025-01-02 20:14:00,0 days 02:52:00,00009_02-01-2025-17.22,461.0,S-109,54.46,82.59
6,60000,71801,AVE,AVE,2025-01-02 17:27:00,2025-01-02 20:46:00,0 days 03:19:00,00006_02-01-2025-17.27,414.0,S-103,80.45,105.88
4,60000,71801,AVE,AVE,2025-01-02 17:57:00,2025-01-02 20:34:00,0 days 02:37:00,00004_02-01-2025-17.57,414.0,S-103,45.95,48.4
16,60000,71801,AVE,AVE,2025-01-02 18:27:00,2025-01-02 21:24:00,0 days 02:57:00,00016_02-01-2025-18.27,414.0,S-103,57.45,79.61
2,60000,71801,IRYO,IRYO,2025-01-02 18:32:00,2025-01-02 21:09:00,0 days 02:37:00,00002_02-01-2025-18.32,461.0,S-109,32.58,44.53
4,60000,71801,AVE,AVE,2025-01-02 18:57:00,2025-01-02 21:34:00,0 days 02:37:00,00004_02-01-2025-18.57,414.0,S-103,67.8,80.27
9,60000,71801,IRYO,IRYO,2025-01-02 19:29:00,2025-01-02 22:21:00,0 days 02:52:00,00009_02-01-2025-19.29,461.0,S-109,41.04,29.95
19,60000,71801,AVLO,AVLO,2025-01-02 19:34:00,2025-01-02 22:55:00,0 days 03:21:00,00019_02-01-2025-19.34,581.0,S-106,29.0,28.74
4,60000,71801,AVE,AVE,2025-01-02 20:05:00,2025-01-02 22:42:00,0 days 02:37:00,00004_02-01-2025-20.05,414.0,S-103,47.45,50.24
9,60000,71801,IRYO,IRYO,2025-01-02 20:22:00,2025-01-02 23:14:00,0 days 02:52:00,00009_02-01-2025-20.22,461.0,S-109,29.26,31.51
20,60000,71801,AVE,AVE,2025-01-02 20:27:00,2025-01-02 23:48:00,0 days 03:21:00,00020_02-01-2025-20.27,414.0,S-103,40.2,35.65
5,60000,71801,OUIGO,OUIGO,2025-01-02 21:02:00,2025-01-02 23:54:00,0 days 02:52:00,00005_02-01-2025-21.02,509.0,S-108,33.0,43.77
7,60000,71801,AVE,AVE,2025-01-02 21:07:00,2025-01-02 23:59:00,0 days 02:52:00,00007_02-01-2025-21.07,414.0,S-103,45.85,64.02
2,60000,71801,IRYO,IRYO,2025-01-03 06:22:00,2025-01-03 08:59:00,0 days 02:37:00,00002_03-01-2025-06.22,461.0,S-109,27.58,21.14
21,60000,71801,AVLO,AVLO,2025-01-03 06:27:00,2025-01-03 09:25:00,0 days 02:58:00,00021_03-01-2025-06.27,527.0,S-106,19.0,30.33
4,60000,71801,AVE,AVE,2025-01-03 06:57:00,2025-01-03 09:34:00,0 days 02:37:00,00004_03-01-2025-06.57,414.0,S-103,40.7,39.76
5,60000,71801,OUIGO,OUIGO,2025-01-03 07:02:00,2025-01-03 09:54:00,0 days 02:52:00,00005_03-01-2025-07.02,509.0,S-108,29.0,43.35
2,60000,71801,IRYO,IRYO,2025-01-03 07:22:00,2025-01-03 09:59:00,0 days 02:37:00,00002_03-01-2025-07.22,461.0,S-109,30.14,61.31
6,60000,71801,AVE,AVE,2025-01-03 07:27:00,2025-01-03 10:46:00,0 days 03:19:00,00006_03-01-2025-07.27,414.0,S-103,57.45,67.57
4,60000,71801,AVE,AVE,2025-01-03 07:57:00,2025-01-03 10:34:00,0 days 02:37:00,00004_03-01-2025-07.57,414.0,S-103,40.7,52.29
2,60000,71801,IRYO,IRYO,2025-01-03 08:32:00,2025-01-03 11:09:00,0 days 02:37:00,00002_03-01-2025-08.32,461.0,S-109,32.59,21.3
8,60000,71801,AVE,AVE,2025-01-03 08:57:00,2025-01-03 11:41:00,0 days 02:44:00,00008_03-01-2025-08.57,414.0,S-103,94.9,103.69
9,60000,71801,IRYO,IRYO,2025-01-03 09:22:00,2025-01-03 12:14:00,0 days 02:52:00,00009_03-01-2025-09.22,461.0,S-109,44.01,55.57
10,60000,71801,AVE,AVE,2025-01-03 09:27:00,2025-01-03 12:41:00,0 days 03:14:00,00010_03-01-2025-09.27,414.0,S-103,57.45,77.13
9,60000,71801,IRYO,IRYO,2025-01-03 09:57:00,2025-01-03 12:49:00,0 days 02:52:00,00009_03-01-2025-09.57,461.0,S-109,57.59,42.73
11,60000,71801,OUIGO,OUIGO,2025-01-03 10:02:00,2025-01-03 13:04:00,0 days 03:02:00,00011_03-01-2025-10.02,509.0,S-108,42.0,44.26
12,60000,71801,AVLO,AVLO,2025-01-03 10:27:00,2025-01-03 13:19:00,0 days 02:52:00,00012_03-01-2025-10.27,581.0,S-106,49.0,52.35
9,60000,71801,IRYO,IRYO,2025-01-03 11:22:00,2025-01-03 14:14:00,0 days 02:52:00,00009_03-01-2025-11.22,461.0,S-109,48.96,46.71
6,60000,71801,AVE,AVE,2025-01-03 11:27:00,2025-01-03 14:46:00,0 days 03:19:00,00006_03-01-2025-11.27,826.0,S-103,91.9,98.13
9,60000,71801,IRYO,IRYO,2025-01-03 12:22:00,2025-01-03 15:14:00,0 days 02:52:00,00009_03-01-2025-12.22,461.0,S-109,35.57,40.37
13,60000,71801,AVE,AVE,2025-01-03 12:27:00,2025-01-03 15:44:00,0 days 03:17:00,00013_03-01-2025-12.27,378.0,S-103,40.7,41.44
4,60000,71801,AVE,AVE,2025-01-03 12:57:00,2025-01-03 15:34:00,0 days 02:37:00,00004_03-01-2025-12.57,414.0,S-103,67.8,78.11
14,60000,71801,AVE INT,AVE INT,2025-01-03 13:18:00,2025-01-03 16:22:00,0 days 03:04:00,00014_03-01-2025-13.18,339.0,S-100,45.95,55.14
4,60000,71801,AVE,AVE,2025-01-03 13:57:00,2025-01-03 16:34:00,0 days 02:37:00,00004_03-01-2025-13.57,414.0,s-103,67.8,91.9
9,60000,71801,IRYO,IRYO,2025-01-03 14:02:00,2025-01-03 16:54:00,0 days 02:52:00,00009_03-01-2025-14.02,461.0,S-109,54.46,80.08
15,60000,71801,OUIGO,OUIGO,2025-01-03 14:12:00,2025-01-03 16:49:00,0 days 02:37:00,00015_03-01-2025-14.12,509.0,S-108,39.0,67.25
16,60000,71801,AVE,AVE,2025-01-03 14:27:00,2025-01-03 17:24:00,0 days 02:57:00,00016_03-01-2025-14.27,291.0,S-100,80.45,96.56
17,60000,71801,IRYO,IRYO,2025-01-03 14:42:00,2025-01-03 17:41:00,0 days 02:59:00,00017_03-01-2025-14.42,461.0,S-109,80.1,79.9
4,60000,71801,AVE,AVE,2025-01-03 14:57:00,2025-01-03 17:34:00,0 days 02:37:00,00004_03-01-2025-14.57,414.0,S-103,81.35,85.14
18,60000,71801,AVLO,AVLO,2025-01-03 15:27:00,2025-01-03 18:46:00,0 days 03:19:00,00018_03-01-2025-15.27,547.0,S-106,45.0,56.2
4,60000,71801,AVE,AVE,2025-01-03 15:57:00,2025-01-03 18:34:00,0 days 02:37:00,00004_03-01-2025-15.57,414.0,S-103,81.35,85.09
7,60000,71801,AVE,AVE,2025-01-03 16:27:00,2025-01-03 19:19:00,0 days 02:52:00,00007_03-01-2025-16.27,414.0,S-103,68.95,96.12
2,60000,71801,IRYO,IRYO,2025-01-03 16:37:00,2025-01-03 19:14:00,0 days 02:37:00,00002_03-01-2025-16.37,461.0,S-109,54.46,73.08
4,60000,71801,AVE,AVE,2025-01-03 16:57:00,2025-01-03 19:34:00,0 days 02:37:00,00004_03-01-2025-16.57,414.0,S-103,81.35,87.11
15,60000,71801,OUIGO,OUIGO,2025-01-03 17:17:00,2025-01-03 19:54:00,0 days 02:37:00,00015_03-01-2025-17.17,509.0,S-108,35.0,62.67
9,60000,71801,IRYO,IRYO,2025-01-03 17:22:00,2025-01-03 20:14:00,0 days 02:52:00,00009_03-01-2025-17.22,461.0,S-109,60.58,63.56
18,60000,71801,AVLO,AVLO,2025-01-03 17:27:00,2025-01-03 20:46:00,0 days 03:19:00,00018_03-01-2025-17.27,581.0,S-106,45.0,51.14
4,60000,71801,AVE,AVE,2025-01-03 17:57:00,2025-01-03 20:34:00,0 days 02:37:00,00004_03-01-2025-17.57,414.0,S-103,45.95,56.81
16,60000,71801,AVE,AVE,2025-01-03 18:27:00,2025-01-03 21:24:00,0 days 02:57:00,00016_03-01-2025-18.27,836.0,S-103,68.95,75.94
2,60000,71801,IRYO,IRYO,2025-01-03 18:32:00,2025-01-03 21:09:00,0 days 02:37:00,00002_03-01-2025-18.32,461.0,S-109,31.97,35.1
4,60000,71801,AVE,AVE,2025-01-03 18:57:00,2025-01-03 21:34:00,0 days 02:37:00,00004_03-01-2025-18.57,414.0,S-103,54.25,56.49
9,60000,71801,IRYO,IRYO,2025-01-03 19:29:00,2025-01-03 22:21:00,0 days 02:52:00,00009_03-01-2025-19.29,461.0,S-109,62.84,59.26
19,60000,71801,AVLO,AVLO,2025-01-03 19:34:00,2025-01-03 22:55:00,0 days 03:21:00,00019_03-01-2025-19.34,581.0,S-106,29.0,36.42
4,60000,71801,AVE,AVE,2025-01-03 20:05:00,2025-01-03 22:42:00,0 days 02:37:00,00004_03-01-2025-20.05,414.0,S-103,54.25,51.46
9,60000,71801,IRYO,IRYO,2025-01-03 20:22:00,2025-01-03 23:14:00,0 days 02:52:00,00009_03-01-2025-20.22,461.0,S-109,29.26,52.31
20,60000,71801,AVE,AVE,2025-01-03 20:27:00,2025-01-03 23:48:00,0 days 03:21:00,00020_03-01-2025-20.27,414.0,S-103,40.2,57.33
5,60000,71801,OUIGO,OUIGO,2025-01-03 21:02:00,2025-01-03 23:54:00,0 days 02:52:00,00005_03-01-2025-21.02,509.0,S-108,19.0,41.42
7,60000,71801,AVE,AVE,2025-01-03 21:07:00,2025-01-03 23:59:00,0 days 02:52:00,00007_03-01-2025-21.07,414.0,S-103,68.95,71.44
21,60000,71801,AVLO,AVLO,2025-01-04 06:27:00,2025-01-04 09:25:00,0 days 02:58:00,00021_04-01-2025-06.27,581.0,S-106,25.0,25.35
