service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00002_01-01-2025-18.32,IRYO,461,S-109,2025,1,2,18.53,157.0,54.72,232,1289.0,-34.8,38.05,AVE,157.0,-4.8,64.88,AVE,177.0,25.2,99.32,AVE,157.0,57.0,27.59,IRYO,172.0
00004_01-01-2025-18.57,AVE,414,S-103,2025,1,2,18.95,157.0,99.32,1,875.0,-30.0,64.88,AVE,177.0,-25.2,54.72,IRYO,157.0,31.8,27.59,IRYO,172.0,37.2,30.58,AVLO,201.0
00009_01-01-2025-19.29,IRYO,461,S-109,2025,1,2,19.48,172.0,27.59,461,1042.0,-57.0,54.72,IRYO,157.0,-31.8,99.32,AVE,157.0,5.4,30.58,AVLO,201.0,36.0,67.27,AVE,157.0
00019_01-01-2025-19.34,AVLO,581,S-106,2025,1,2,19.57,201.0,30.58,469,1042.0,-37.2,99.32,AVE,157.0,-5.4,27.59,IRYO,172.0,30.6,67.27,AVE,157.0,48.0,52.08,IRYO,172.0
00004_01-01-2025-20.05,AVE,414,S-103,2025,1,2,20.08,157.0,67.27,32,1289.0,-36.0,27.59,IRYO,172.0,-30.6,30.58,AVLO,201.0,17.4,52.08,IRYO,172.0,22.2,32.28,AVE,201.0
00009_01-01-2025-20.22,IRYO,461,S-109,2025,1,2,20.37,172.0,52.08,57,1289.0,-48.0,30.58,AVLO,201.0,-17.4,67.27,AVE,157.0,4.8,32.28,AVE,201.0,39.6,46.26,OUIGO,172.0
00020_01-01-2025-20.27,AVE,414,S-103,2025,1,2,20.45,201.0,32.28,414,1289.0,-22.2,67.27,AVE,157.0,-4.8,52.08,IRYO,172.0,34.8,46.26,OUIGO,172.0,40.2,63.05,AVE,172.0
00005_01-01-2025-21.02,OUIGO,509,S-108,2025,1,2,21.03,172.0,46.26,52,923.0,-39.6,52.08,IRYO,172.0,-34.8,32.28,AVE,201.0,5.4,63.05,AVE,172.0,550.2,33.37,AVLO,157.0
00007_01-01-2025-21.07,AVE,414,S-103,2025,1,2,21.12,172.0,63.05,2,923.0,-40.2,32.28,AVE,201.0,-5.4,46.26,OUIGO,172.0,544.8,33.37,AVLO,157.0,555.0,37.14,IRYO,157.0
00001_02-01-2025-06.12,AVLO,581,S-106,2025,1,3,6.2,157.0,33.37,581,1401.0,-550.2,46.26,OUIGO,172.0,-544.8,63.05,AVE,172.0,10.2,37.14,IRYO,157.0,15.0,47.73,AVE,178.0
00002_02-01-2025-06.22,IRYO,461,S-109,2025,1,3,6.37,157.0,37.14,461,1401.0,-555.0,63.05,AVE,172.0,-10.2,33.37,AVLO,157.0,4.8,47.73,AVE,178.0,34.8,62.84,AVE,157.0
00003_02-01-2025-06.27,AVE,359,S-103,2025,1,3,6.45,178.0,47.73,359,1401.0,-15.0,33.37,AVLO,157.0,-4.8,37.14,IRYO,157.0,30.0,62.84,AVE,157.0,34.8,36.85,OUIGO,172.0
00004_02-01-2025-06.57,AVE,414,S-103,2025,1,3,6.95,157.0,62.84,414,1384.0,-34.8,37.14,IRYO,157.0,-30.0,47.73,AVE,178.0,4.8,36.85,OUIGO,172.0,25.2,29.99,IRYO,157.0
00005_02-01-2025-07.02,OUIGO,509,S-108,2025,1,3,7.03,172.0,36.85,509,1798.0,-34.8,47.73,AVE,178.0,-4.8,62.84,AVE,157.0,20.4,29.99,IRYO,157.0,25.2,39.79,AVE,199.0
00002_02-01-2025-07.22,IRYO,461,S-109,2025,1,3,7.37,157.0,29.99,461,1798.0,-25.2,62.84,AVE,157.0,-20.4,36.85,OUIGO,172.0,4.8,39.79,AVE,199.0,34.8,50.19,AVE,157.0
00006_02-01-2025-07.27,AVE,414,S-103,2025,1,3,7.45,199.0,39.79,414,1384.0,-25.2,36.85,OUIGO,172.0,-4.8,29.99,IRYO,157.0,30.0,50.19,AVE,157.0,60.0,57.21,AVE,172.0
00004_02-01-2025-07.57,AVE,414,S-103,2025,1,3,7.95,157.0,50.19,414,414.0,-34.8,29.99,IRYO,157.0,-30.0,39.79,AVE,199.0,30.0,57.21,AVE,172.0,34.8,43.32,IRYO,157.0
00007_02-01-2025-08.27,AVE,414,S-103,2025,1,3,8.45,172.0,57.21,414,1289.0,-60.0,39.79,AVE,199.0,-30.0,50.19,AVE,157.0,4.8,43.32,IRYO,157.0,30.0,66.66,AVE,164.0
00002_02-01-2025-08.32,IRYO,461,S-109,2025,1,3,8.53,157.0,43.32,461,1289.0,-34.8,50.19,AVE,157.0,-4.8,57.21,AVE,172.0,25.2,66.66,AVE,164.0,50.4,34.72,IRYO,172.0
00008_02-01-2025-08.57,AVE,414,S-103,2025,1,3,8.95,164.0,66.66,414,1336.0,-30.0,57.21,AVE,172.0,-25.2,43.32,IRYO,157.0,25.2,34.72,IRYO,172.0,30.0,62.91,AVE,194.0
00009_02-01-2025-09.22,IRYO,461,S-109,2025,1,3,9.37,172.0,34.72,461,1289.0,-50.4,43.32,IRYO,157.0,-25.2,66.66,AVE,164.0,4.8,62.91,AVE,194.0,34.8,43.04,IRYO,172.0
00010_02-01-2025-09.27,AVE,414,S-103,2025,1,3,9.45,194.0,62.91,414,875.0,-30.0,66.66,AVE,164.0,-4.8,34.72,IRYO,172.0,30.0,43.04,IRYO,172.0,34.8,58.66,OUIGO,182.0
00009_02-01-2025-09.57,IRYO,461,S-109,2025,1,3,9.95,172.0,43.04,461,970.0,-34.8,34.72,IRYO,172.0,-30.0,62.91,AVE,194.0,4.8,58.66,OUIGO,182.0,30.0,53.45,AVLO,172.0
00011_02-01-2025-10.02,OUIGO,509,S-108,2025,1,3,10.03,182.0,58.66,398,1551.0,-34.8,62.91,AVE,194.0,-4.8,43.04,IRYO,172.0,25.2,53.45,AVLO,172.0,80.4,48.13,IRYO,172.0
00012_02-01-2025-10.27,AVLO,581,S-106,2025,1,3,10.45,172.0,53.45,54,1090.0,-30.0,43.04,IRYO,172.0,-25.2,58.66,OUIGO,182.0,55.2,48.13,IRYO,172.0,60.0,60.59,AVE,199.0
00009_02-01-2025-11.22,IRYO,461,S-109,2025,1,3,11.37,172.0,48.13,461,1287.0,-80.4,58.66,OUIGO,182.0,-55.2,53.45,AVLO,172.0,4.8,60.59,AVE,199.0,60.0,53.83,IRYO,172.0
00006_02-01-2025-11.27,AVE,826,S-103,2025,1,3,11.45,199.0,60.59,214,1287.0,-60.0,53.45,AVLO,172.0,-4.8,48.13,IRYO,172.0,55.2,53.83,IRYO,172.0,60.0,51.88,AVE,197.0
00009_02-01-2025-12.22,IRYO,461,S-109,2025,1,3,12.37,172.0,53.83,388,839.0,-60.0,48.13,IRYO,172.0,-55.2,60.59,AVE,199.0,4.8,51.88,AVE,197.0,34.8,45.75,AVE,157.0
00013_02-01-2025-12.27,AVE,378,S-103,2025,1,3,12.45,197.0,51.88,378,839.0,-60.0,60.59,AVE,199.0,-4.8,53.83,IRYO,172.0,30.0,45.75,AVE,157.0,51.0,55.14,AVE,184.0
00004_02-01-2025-14.57,AVE,414,S-103,2025,1,3,14.95,157.0,92.16,160,875.0,-30.0,87.57,AVE,177.0,-15.0,42.9,IRYO,179.0,30.0,32.28,AVLO,199.0,60.0,103.74,AVE,157.0
00018_02-01-2025-15.27,AVLO,571,S-106,2025,1,3,15.45,199.0,32.28,571,571.0,-45.0,42.9,IRYO,179.0,-30.0,92.16,AVE,157.0,30.0,103.74,AVE,157.0,60.0,44.88,AVE,172.0
00004_02-01-2025-15.57,AVE,414,S-103,2025,1,3,15.95,157.0,103.74,405,414.0,-60.0,92.16,AVE,157.0,-30.0,32.28,AVLO,199.0,30.0,44.88,AVE,172.0,40.2,37.25,IRYO,157.0
00007_02-01-2025-16.27,AVE,414,S-103,2025,1,3,16.45,172.0,44.88,414,875.0,-60.0,32.28,AVLO,199.0,-30.0,103.74,AVE,157.0,10.2,37.25,IRYO,157.0,30.0,145.9,AVE,157.0
00002_02-01-2025-16.37,IRYO,461,S-109,2025,1,3,16.62,157.0,37.25,461,1289.0,-40.2,103.74,AVE,157.0,-10.2,44.88,AVE,172.0,19.8,145.9,AVE,157.0,39.6,43.64,OUIGO,157.0
00004_02-01-2025-16.57,AVE,414,S-103,2025,1,3,16.95,157.0,145.9,27,1845.0,-30.0,44.88,AVE,172.0,-19.8,37.25,IRYO,157.0,19.8,43.64,OUIGO,157.0,25.2,72.86,IRYO,172.0
00015_02-01-2025-17.17,OUIGO,509,S-108,2025,1,3,17.28,157.0,43.64,509,1798.0,-39.6,37.25,IRYO,157.0,-19.8,145.9,AVE,157.0,5.4,72.86,IRYO,172.0,10.2,71.8,AVE,199.0
00009_02-01-2025-17.22,IRYO,461,S-109,2025,1,3,17.37,172.0,72.86,461,1798.0,-25.2,145.9,AVE,157.0,-5.4,43.64,OUIGO,157.0,4.8,71.8,AVE,199.0,34.8,68.59,AVE,157.0
00006_02-01-2025-17.27,AVE,414,S-103,2025,1,3,17.45,199.0,71.8,414,1384.0,-10.2,43.64,OUIGO,157.0,-4.8,72.86,IRYO,172.0,30.0,68.59,AVE,157.0,60.0,60.37,AVE,177.0
00004_02-01-2025-17.57,AVE,414,S-103,2025,1,3,17.95,157.0,68.59,414,414.0,-34.8,72.86,IRYO,172.0,-30.0,71.8,AVE,199.0,30.0,60.37,AVE,177.0,34.8,44.96,IRYO,157.0
00016_02-01-2025-18.27,AVE,414,S-103,2025,1,3,18.45,177.0,60.37,414,875.0,-60.0,71.8,AVE,199.0,-30.0,68.59,AVE,157.0,4.8,44.96,IRYO,157.0,30.0,103.05,AVE,157.0
00002_02-01-2025-18.32,IRYO,461,S-109,2025,1,3,18.53,157.0,44.96,461,1289.0,-34.8,68.59,AVE,157.0,-4.8,60.37,AVE,177.0,25.2,103.05,AVE,157.0,57.0,48.17,IRYO,172.0
00004_02-01-2025-18.57,AVE,414,S-103,2025,1,3,18.95,157.0,103.05,352,875.0,-30.0,60.37,AVE,177.0,-25.2,44.96,IRYO,157.0,31.8,48.17,IRYO,172.0,37.2,35.71,AVLO,201.0
00009_02-01-2025-19.29,IRYO,461,S-109,2025,1,3,19.48,172.0,48.17,461,1042.0,-57.0,44.96,IRYO,157.0,-31.8,103.05,AVE,157.0,5.4,35.71,AVLO,201.0,36.0,65.35,AVE,157.0
00019_02-01-2025-19.34,AVLO,581,S-106,2025,1,3,19.57,201.0,35.71,581,1042.0,-37.2,103.05,AVE,157.0,-5.4,48.17,IRYO,172.0,30.6,65.35,AVE,157.0,48.0,35.82,IRYO,172.0
00004_02-01-2025-20.05,AVE,414,S-103,2025,1,3,20.08,157.0,65.35,414,1289.0,-36.0,48.17,IRYO,172.0,-30.6,35.71,AVLO,201.0,17.4,35.82,IRYO,172.0,22.2,53.96,AVE,201.0
00009_02-01-2025-20.22,IRYO,461,S-109,2025,1,3,20.37,172.0,35.82,461,1289.0,-48.0,35.71,AVLO,201.0,-17.4,65.35,AVE,157.0,4.8,53.96,AVE,201.0,39.6,32.42,OUIGO,172.0
