service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h
00009_03-01-2025-09.22,IRYO,461,S-109,2025,1,4,9.37,172.0,47.42,461,1289.0
00010_03-01-2025-09.27,AVE,414,S-103,2025,1,4,9.45,194.0,72.0,373,875.0
00009_03-01-2025-09.57,IRYO,461,S-109,2025,1,4,9.95,172.0,65.39,411,970.0
00011_03-01-2025-10.02,OUIGO,509,S-108,2025,1,4,10.03,182.0,47.46,509,1551.0
00012_03-01-2025-10.27,AVLO,581,S-106,2025,1,4,10.45,172.0,57.13,70,1090.0
00009_03-01-2025-11.22,IRYO,461,S-109,2025,1,4,11.37,172.0,74.44,286,1287.0
00006_03-01-2025-11.27,AVE,826,S-103,2025,1,4,11.45,199.0,111.64,4,1287.0
00009_03-01-2025-12.22,IRYO,461,S-109,2025,1,4,12.37,172.0,74.54,216,839.0
00013_03-01-2025-12.27,AVE,378,S-103,2025,1,4,12.45,197.0,62.41,378,839.0
00004_03-01-2025-12.57,AVE,414,S-103,2025,1,4,12.95,157.0,65.9,414,753.0
00014_03-01-2025-13.18,AVE,339,S-100,2025,1,4,13.3,184.0,55.14,339,753.0
00004_03-01-2025-13.57,AVE,414,S-103,2025,1,4,13.95,157.0,90.33,40,1384.0
00009_03-01-2025-14.02,IRYO,461,S-109,2025,1,4,14.03,172.0,70.11,125,1675.0
00015_03-01-2025-14.12,OUIGO,509,S-108,2025,1,4,14.2,157.0,58.44,509,1675.0
00016_03-01-2025-14.27,AVE,291,S-100,2025,1,4,14.45,177.0,87.22,27,1722.0
00017_03-01-2025-14.42,IRYO,461,S-109,2025,1,4,14.7,179.0,82.33,20,1166.0
00004_03-01-2025-14.57,AVE,414,S-103,2025,1,4,14.95,157.0,106.69,4,875.0
00018_03-01-2025-15.27,AVLO,547,S-106,2025,1,4,15.45,199.0,51.27,547,547.0
00004_03-01-2025-15.57,AVE,414,S-103,2025,1,4,15.95,157.0,92.51,43,414.0
00007_03-01-2025-16.27,AVE,414,S-103,2025,1,4,16.45,172.0,81.05,164,875.0
00002_03-01-2025-16.37,IRYO,461,S-109,2025,1,4,16.62,157.0,59.52,461,1289.0
00004_03-01-2025-16.57,AVE,414,S-103,2025,1,4,16.95,157.0,99.13,32,1845.0
00015_03-01-2025-17.17,OUIGO,509,S-108,2025,1,4,17.28,157.0,44.56,509,1965.0
00009_03-01-2025-17.22,IRYO,461,S-109,2025,1,4,17.37,172.0,72.57,216,1965.0
00018_03-01-2025-17.27,AVLO,581,S-106,2025,1,4,17.45,199.0,51.81,468,1551.0
00004_03-01-2025-17.57,AVE,414,S-103,2025,1,4,17.95,157.0,68.42,414,414.0
00016_03-01-2025-18.27,AVE,836,S-103,2025,1,4,18.45,177.0,79.59,70,1297.0
00002_03-01-2025-18.32,IRYO,461,S-109,2025,1,4,18.53,157.0,48.75,461,1711.0
00004_03-01-2025-18.57,AVE,414,S-103,2025,1,4,18.95,157.0,75.56,164,875.0
00009_03-01-2025-19.29,IRYO,461,S-109,2025,1,4,19.48,172.0,67.39,76,1042.0
00019_03-01-2025-19.34,AVLO,581,S-106,2025,1,4,19.57,201.0,41.86,581,1042.0
00004_03-01-2025-20.05,AVE,414,S-103,2025,1,4,20.08,157.0,63.34,367,1289.0
00009_03-01-2025-20.22,IRYO,461,S-109,2025,1,4,20.37,172.0,23.97,461,1289.0
00020_03-01-2025-20.27,AVE,414,S-103,2025,1,4,20.45,201.0,60.45,181,1289.0
00005_03-01-2025-21.02,OUIGO,509,S-108,2025,1,4,21.03,172.0,44.17,509,923.0
00007_03-01-2025-21.07,AVE,414,S-103,2025,1,4,21.12,172.0,98.88,0,923.0
00021_04-01-2025-06.27,AVLO,581,S-106,2025,1,5,6.45,178.0,32.44,581,581.0
00005_04-01-2025-07.02,OUIGO,509,S-108,2025,1,5,7.03,172.0,37.37,509,923.0
00006_04-01-2025-07.27,AVE,414,S-103,2025,1,5,7.45,199.0,63.39,298,923.0
00009_04-01-2025-08.07,IRYO,461,S-109,2025,1,5,8.12,172.0,20.01,461,875.0
00007_04-01-2025-08.27,AVE,414,S-103,2025,1,5,8.45,172.0,39.08,414,875.0
00008_04-01-2025-08.57,AVE,836,S-103,2025,1,5,8.95,164.0,62.59,301,1297.0
00009_04-01-2025-09.22,IRYO,461,S-109,2025,1,5,9.37,172.0,44.32,461,1711.0
00010_04-01-2025-09.27,AVE,414,S-103,2025,1,5,9.45,194.0,65.63,254,875.0
00009_04-01-2025-09.57,IRYO,461,S-109,2025,1,5,9.95,172.0,28.13,461,970.0
00011_04-01-2025-10.02,OUIGO,509,S-108,2025,1,5,10.03,182.0,37.53,509,1551.0
00012_04-01-2025-10.27,AVLO,581,S-106,2025,1,5,10.45,172.0,53.69,559,1090.0
00009_04-01-2025-11.22,IRYO,461,S-109,2025,1,5,11.37,172.0,40.08,461,1264.0
00006_04-01-2025-11.27,AVE,803,S-103,2025,1,5,11.45,199.0,44.35,803,1264.0
00009_04-01-2025-12.22,IRYO,461,S-109,2025,1,5,12.37,172.0,26.02,461,839.0
00013_04-01-2025-12.27,AVE,378,S-103,2025,1,5,12.45,197.0,57.39,378,839.0
00014_04-01-2025-13.18,AVE,339,S-100,2025,1,5,13.3,184.0,82.74,194,339.0
00015_04-01-2025-14.12,OUIGO,509,S-108,2025,1,5,14.2,157.0,23.67,509,509.0
00017_04-01-2025-14.42,IRYO,461,S-109,2025,1,5,14.7,179.0,36.57,461,461.0
00018_04-01-2025-15.27,AVLO,547,S-106,2025,1,5,15.45,199.0,27.55,547,547.0
00007_04-01-2025-16.27,AVE,414,S-103,2025,1,5,16.45,172.0,102.72,414,875.0
00002_04-01-2025-16.37,IRYO,461,S-109,2025,1,5,16.62,157.0,53.61,461,875.0
00015_04-01-2025-17.17,OUIGO,509,S-108,2025,1,5,17.28,157.0,15.4,509,1090.0
00018_04-01-2025-17.27,AVLO,581,S-106,2025,1,5,17.45,199.0,12.07,581,1090.0
00016_04-01-2025-18.27,AVE,414,S-103,2025,1,5,18.45,177.0,102.37,414,414.0
00009_04-01-2025-19.29,IRYO,461,S-109,2025,1,5,19.48,172.0,35.86,461,1042.0
00019_04-01-2025-19.34,AVLO,581,S-106,2025,1,5,19.57,201.0,24.04,581,1042.0
00009_04-01-2025-20.22,IRYO,461,S-109,2025,1,5,20.37,172.0,35.14,461,875.0
00020_04-01-2025-20.27,AVE,414,S-103,2025,1,5,20.45,201.0,12.36,414,875.0
00005_04-01-2025-21.02,OUIGO,509,S-108,2025,1,5,21.03,172.0,22.2,509,509.0
00021_05-01-2025-06.27,AVLO,581,S-106,2025,1,6,6.45,178.0,52.21,581,581.0
00005_05-01-2025-07.02,OUIGO,509,S-108,2025,1,6,7.03,172.0,53.93,509,923.0
00006_05-01-2025-07.27,AVE,414,S-103,2025,1,6,7.45,199.0,49.78,414,923.0
00009_05-01-2025-08.07,IRYO,461,S-109,2025,1,6,8.12,172.0,54.17,461,875.0
00007_05-01-2025-08.27,AVE,414,S-103,2025,1,6,8.45,172.0,82.73,414,875.0
00009_05-01-2025-09.22,IRYO,461,S-109,2025,1,6,9.37,172.0,45.92,461,875.0
00010_05-01-2025-09.27,AVE,414,S-103,2025,1,6,9.45,194.0,27.78,414,875.0
00009_05-01-2025-09.57,IRYO,461,S-109,2025,1,6,9.95,172.0,59.65,461,970.0
00011_05-01-2025-10.02,OUIGO,509,S-108,2025,1,6,10.03,182.0,25.7,509,1551.0
00012_05-01-2025-10.27,AVLO,581,S-106,2025,1,6,10.45,172.0,40.64,581,1090.0
00009_05-01-2025-11.22,IRYO,461,S-109,2025,1,6,11.37,172.0,61.34,461,1264.0
00006_05-01-2025-11.27,AVE,803,S-103,2025,1,6,11.45,199.0,157.66,367,1264.0
00009_05-01-2025-12.22,IRYO,461,S-109,2025,1,6,12.37,172.0,64.8,461,859.0
00013_05-01-2025-12.27,AVE,398,S-103,2025,1,6,12.45,197.0,55.1,398,859.0
00014_05-01-2025-13.18,AVE,339,S-100,2025,1,6,13.3,184.0,55.14,339,339.0
00009_05-01-2025-14.02,IRYO,461,S-109,2025,1,6,14.03,172.0,82.19,461,1351.0
00015_05-01-2025-14.12,OUIGO,509,S-108,2025,1,6,14.2,157.0,57.27,509,1351.0
